Type,From,To,"Date & Time",Duration,Summary,Sentiment,Keywords,"Is Booked","Created At"
inbound,,,"06/05/25 09:07 PM",00:00,,," ",No,"07/04/25 11:45 AM"
inbound,"Jesthony Morales",,"06/05/25 09:07 PM",00:42,,," ",No,"07/04/25 11:45 AM"
inbound,,,"06/05/25 09:04 PM",00:10,,," ",No,"07/04/25 11:45 AM"
inbound,,,"06/05/25 09:04 PM",00:18,,," ",No,"07/04/25 11:45 AM"
inbound,,,"06/05/25 08:18 PM",00:09,,," ",No,"07/04/25 11:45 AM"
inbound,,,"06/05/25 08:18 PM",00:09,,," ",No,"07/04/25 11:45 AM"
inbound,,,"06/05/25 08:17 PM",00:04,,," ",No,"07/04/25 11:45 AM"
inbound,,,"06/05/25 08:16 PM",00:49,"Customer interested in booking. General inquiry.",neutral," 0/10",Yes,"07/04/25 11:45 AM"
inbound,,,"06/05/25 07:13 PM",00:06,,," ",No,"07/04/25 11:45 AM"
inbound,,,"06/05/25 07:13 PM",00:16,"Customer interested in booking. General inquiry.",neutral," 0/10",Yes,"07/04/25 11:45 AM"
inbound,,,"06/05/25 07:10 PM",00:07,,," ",No,"07/04/25 11:45 AM"
inbound,,,"06/05/25 07:10 PM",00:17,"Customer interested in booking. General inquiry.",neutral," 0/10",Yes,"07/04/25 11:45 AM"
inbound,,,"06/05/25 07:10 PM",00:07,,," ",No,"07/04/25 11:45 AM"
inbound,,,"06/05/25 07:10 PM",00:17,"Customer interested in booking. General inquiry.",neutral," 0/10",Yes,"07/04/25 11:45 AM"
inbound,,,"06/05/25 07:09 PM",00:18,,," ",No,"07/04/25 11:45 AM"
inbound,,,"06/05/25 07:07 PM",00:05,,," ",No,"07/04/25 11:45 AM"
inbound,,,"06/05/25 07:07 PM",00:14,"Customer interested in booking. General inquiry.",neutral," 0/10",Yes,"07/04/25 11:45 AM"
inbound,,,"06/05/25 07:06 PM",00:06,,," ",No,"07/04/25 11:45 AM"
inbound,,,"06/05/25 07:06 PM",00:13,"Customer interested in booking. General inquiry.",neutral," 0/10",Yes,"07/04/25 11:45 AM"
inbound,,,"06/05/25 07:06 PM",00:11,,," ",No,"07/04/25 11:45 AM"
inbound,,,"06/10/25 10:08 PM",00:02,,," ",No,"07/04/25 11:46 AM"
inbound,,,"06/10/25 10:08 PM",00:12,,," ",No,"07/04/25 11:46 AM"
inbound,,,"06/10/25 10:07 PM",00:10,,," ",No,"07/04/25 11:46 AM"
inbound,,,"06/10/25 10:07 PM",00:18,"Customer interested in booking. Customer expressed concerns. General inquiry.",negative," 1/29",Yes,"07/04/25 11:46 AM"
inbound,,,"06/10/25 10:07 PM",00:17,,," ",No,"07/04/25 11:46 AM"
inbound,,,"06/10/25 05:23 PM",00:00,,," ",No,"07/04/25 11:46 AM"
inbound,,,"06/10/25 05:23 PM",00:10,,," ",No,"07/04/25 11:46 AM"
inbound,,,"06/10/25 05:22 PM",00:00,,," ",No,"07/04/25 11:46 AM"
inbound,,,"06/10/25 05:22 PM",00:08,,," ",No,"07/04/25 11:46 AM"
inbound,,,"06/10/25 05:20 PM",00:00,,," ",No,"07/04/25 11:46 AM"
inbound,,,"06/10/25 05:20 PM",00:12,,," ",No,"07/04/25 11:46 AM"
inbound,,,"06/10/25 05:00 PM",00:09,,," ",No,"07/04/25 11:46 AM"
inbound,,,"06/10/25 05:00 PM",00:14,,," ",No,"07/04/25 11:46 AM"
inbound,,,"06/10/25 04:57 PM",00:58,,," ",No,"07/04/25 11:46 AM"
inbound,,,"06/10/25 04:57 PM",01:21,"Customer interested in booking. Positive customer interaction. General inquiry.",positive," 4/29",Yes,"07/04/25 11:46 AM"
inbound,,,"06/10/25 04:52 PM",00:09,,," ",No,"07/04/25 11:46 AM"
inbound,,,"06/10/25 04:52 PM",00:09,,," ",No,"07/04/25 11:46 AM"
inbound,,,"06/10/25 04:51 PM",00:15,,," ",No,"07/04/25 11:46 AM"
inbound,,,"06/10/25 04:32 PM",00:06,,," ",No,"07/04/25 11:46 AM"
inbound,,,"06/10/25 04:32 PM",00:20,"Customer interested in booking. General inquiry.",neutral," 0/10",Yes,"07/04/25 11:46 AM"
inbound,,,"06/15/25 11:50 PM",00:11,,," ",No,"07/04/25 11:46 AM"
inbound,,,"06/15/25 11:50 PM",00:13,,," ",No,"07/04/25 11:46 AM"
inbound,,,"06/15/25 09:30 PM",00:41,,," ",No,"07/04/25 11:46 AM"
inbound,,,"06/15/25 09:30 PM",01:17,"Customer interested in booking. Positive customer interaction. General inquiry.",positive," 5/29",Yes,"07/04/25 11:46 AM"
inbound,,,"06/15/25 09:29 PM",00:09,,," ",No,"07/04/25 11:46 AM"
inbound,,,"06/15/25 09:27 PM",00:28,,," ",No,"07/04/25 11:46 AM"
inbound,,,"06/15/25 09:27 PM",01:11,"Customer interested in booking. Positive customer interaction. General inquiry.",positive," 4/29",Yes,"07/04/25 11:46 AM"
inbound,,,"06/15/25 09:26 PM",00:09,,," ",No,"07/04/25 11:46 AM"
inbound,,,"06/15/25 09:12 PM",00:04,,," ",No,"07/04/25 11:46 AM"
inbound,,,"06/15/25 09:12 PM",00:29,"Customer interested in booking. General inquiry.",neutral," 0/10",Yes,"07/04/25 11:46 AM"
inbound,,,"06/15/25 01:50 PM",00:07,,," ",No,"07/04/25 11:46 AM"
inbound,,,"06/15/25 01:50 PM",00:45,"Customer interested in booking. General inquiry.",neutral," 0/10",Yes,"07/04/25 11:46 AM"
inbound,,,"06/15/25 01:50 PM",00:08,,," ",No,"07/04/25 11:46 AM"
inbound,,,"06/15/25 01:49 PM",00:08,,," ",No,"07/04/25 11:46 AM"
inbound,,,"06/13/25 09:19 PM",00:02,,," ",No,"07/04/25 11:46 AM"
inbound,,,"06/13/25 09:18 PM",00:44,"Customer interested in booking. General inquiry.",neutral," 0/10",Yes,"07/04/25 11:46 AM"
inbound,,,"06/13/25 08:00 PM",00:07,,," ",No,"07/04/25 11:46 AM"
inbound,,,"06/13/25 08:00 PM",00:23,"Customer interested in booking. General inquiry.",neutral," 1/10",Yes,"07/04/25 11:46 AM"
inbound,,,"06/13/25 07:43 PM",01:18,,," ",No,"07/04/25 11:46 AM"
inbound,,,"06/13/25 07:43 PM",01:37,"Customer interested in booking. Customer expressed concerns. General inquiry.",negative," 7/29",Yes,"07/04/25 11:46 AM"
